mpg,displacement,horsepower,weight,acceleration,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_2,origin_3,model_year_71,model_year_72,model_year_73,model_year_74,model_year_75,model_year_76,model_year_77,model_year_78,model_year_79,model_year_80,model_year_81,model_year_82
21.5,231,115,3245,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19.8,200,85,2990,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22.3,140,88,2890,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20.2,232,90,3265,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20.6,225,110,3360,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17.0,305,130,3840,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17.6,302,129,3725,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.5,351,138,3955,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.2,318,135,3830,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16.9,350,155,4360,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15.5,351,142,4054,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19.2,267,125,3605,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.5,360,150,3940,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31.9,89,71,1925,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
34.1,86,65,1975,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
35.7,98,80,1915,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27.4,121,80,2670,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
25.4,183,77,3530,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23.0,350,125,3900,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27.2,141,71,3190,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
23.9,260,90,3420,22,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.2,105,70,2200,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34.5,105,70,2150,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
31.8,85,65,2020,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
37.3,91,69,2130,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
28.4,151,90,2670,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
28.8,173,115,2595,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
26.8,173,115,2700,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33.5,151,90,2556,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41.5,98,76,2144,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38.1,89,60,1968,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32.1,98,70,2120,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37.2,86,65,2019,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28.0,151,90,2678,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26.4,140,88,2870,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24.3,151,90,3003,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.1,225,90,3381,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34.3,97,78,2188,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29.8,134,90,2711,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
31.3,120,75,2542,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
37.0,119,92,2434,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
32.2,108,75,2265,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
46.6,86,65,2110,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
27.9,156,105,2800,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40.8,85,65,2110,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
44.3,90,48,2085,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
43.4,90,48,2335,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
36.4,121,67,2950,19,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30.0,146,67,3250,21,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
44.6,91,67,1850,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
40.9,85,93,1835,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
33.8,97,67,2145,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
29.8,89,62,1845,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32.7,168,132,2910,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23.7,70,100,2420,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
35.0,122,88,2500,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23.6,140,93,2905,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32.4,107,72,2290,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
27.2,135,84,2490,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26.6,151,84,2635,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25.8,156,92,2620,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23.5,173,110,2725,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30.0,135,84,2385,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
39.1,79,58,1755,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
39.0,86,64,1875,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35.1,81,60,1760,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32.3,97,67,2065,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37.0,85,65,1975,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
37.7,89,62,2050,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34.1,91,68,1985,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
34.7,105,63,2215,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34.4,98,65,2045,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29.9,98,65,2380,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33.0,105,74,2190,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
34.5,100,93,2320,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33.7,107,75,2210,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32.4,108,75,2350,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
32.9,119,100,2615,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
31.6,120,74,2635,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28.1,141,80,3230,20,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30.7,145,76,3160,19,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25.4,168,116,2900,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
24.2,146,120,2930,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
22.4,231,110,3415,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26.6,350,105,3725,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20.2,200,88,3060,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17.6,225,85,3465,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28.0,112,88,2605,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,112,88,2640,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.0,112,88,2395,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.0,112,85,2575,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29.0,135,84,2525,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,151,90,2735,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24.0,140,92,2865,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23.0,151,93,3035,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.0,105,74,1980,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
37.0,91,68,2025,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
31.0,91,68,1970,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38.0,105,63,2125,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.0,98,70,2125,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36.0,120,88,2160,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36.0,107,75,2205,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34.0,108,70,2245,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38.0,91,67,1965,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
32.0,91,67,1965,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
38.0,91,67,1995,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
25.0,181,110,2945,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38.0,262,85,3015,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26.0,156,92,2585,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22.0,232,112,2835,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32.0,144,96,2665,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
36.0,135,84,2370,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,151,90,2950,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27.0,140,86,2790,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44.0,97,52,2130,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
32.0,135,84,2295,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28.0,120,79,2625,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.0,119,82,2720,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
